Company,ISIN,Market,Compartment,Country,Ticker,industry,sector,overallRisk,beta,dividendYield,fiveYearAvgDividendYield,trailingPE,forwardPE,regularMarketVolume,marketCap,currency,enterpriseValue,profitMargins,bookValue,priceToBook,trailingEps,forwardEps,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingMargins
ABL GROUP ASA,NO0010715394,Oslo Bors,Compartment C,Norway,ABL.OL,Specialty Business Services,Industrials,,0.353,4.55,4.79,,7.91661,23836.0,1319784192.0,NOK,1353298944.0,0.014680001,7.4417367,1.3303345,-0.19,1.2505352,15320000.0,0.113,27367000.0,351548992.0,2.595,0.03175,0.0481,351548992.0,0.03416
ABO GROUP ENVIRONMENT,BE0974278104,Euronext Brussels,Compartment C,Belgium,BE0974278104.SG,,,,,,,,,0.0,,EUR,,,,,,,,,,,,,,,
ACCENTIS,BE0003696102,Euronext Brussels,Compartment C,Belgium,ACCB.BR,Real Estate Services,Real Estate,,0.327,,,Infinity,,16500.0,34097060.0,EUR,23262058.0,0.20496,0.032,0.84375,0.0,,21769000.0,0.017,10934000.0,6250000.0,0.005,0.03946,0.03246,4391000.0,0.58032
ACE DIGITAL AS,NO0013531616,Euronext Growth Oslo,Euronext Growth,Norway,ACED.OL,,,,,,,Infinity,,20791.0,52225672.0,NOK,,0.0,-0.0,,0.0,,,,,,,,,,0.0
Acheter-Louer.fr,FR0014011O84,Euronext Growth Paris,Euronext Growth,France,ALALO.PA,Advertising Agencies,Communication Services,,-2311.86,,,,,941864.0,180664.0,EUR,4739461.0,0.0,-17.587,-0.0014954228,-112.97,,1928000.0,4.424,6656000.0,771000.0,2.554,-1.11454,,-774000.0,-2.5739899
ACINQUE,IT0001382024,Euronext Milan,Compartment B,Italy,AC5.MI,Utilities - Diversified,Utilities,,0.344,3.7,4.01,19.166666,,9191.0,453890752.0,EUR,638121728.0,0.03774,2.635,0.87286526,0.12,,90031000.0,0.456,274262016.0,614057024.0,3.112,0.02629,0.04565,186214000.0,0.05831
ACOMO N.V.,NL0000313286,Euronext Amsterdam,Compartment B,Netherlands,ACOMO.AS,Food Distribution,Consumer Defensive,,0.275,4.9,4.76,11.517095,12.5373335,40381.0,798400384.0,EUR,1097238400.0,0.04776,13.992,1.9261007,2.34,2.14958,3047000.0,0.103,299681984.0,1453065984.0,48.856,0.08392999,0.16851,236240992.0,0.08351
ACTEOS,FR0000076861,Euronext Paris,Compartment C,France,EOS.PA,Software - Application,Technology,,0.863,,,,,2265.0,3226435.0,EUR,6474061.0,-0.13335,-0.772,-1.253886,-0.4,,223926.0,0.067,3479021.0,9812427.0,2.955,-0.0401,,6388870.0,-0.11755
ACTIA GROUP S.A.,FR0000076655,Euronext Growth Paris,Euronext Growth,France,ALATI.PA,Auto Parts,Consumer Cyclical,,0.577,3.45,2.15,,13.115385,177840.0,68473200.0,EUR,218685088.0,-0.02141,6.574,0.5187101,-0.56,0.26,56777000.0,2.85,204428992.0,522072000.0,25.862,-0.0276,-0.053990003,267404992.0,-0.001
ACTIVIUM GROUP,FR0010979377,Euronext Access Paris,Euronext Access,France,MLACT.PA,Computer Hardware,Technology,,1.528647,,,,,282.0,7768110.0,EUR,,0.05669,,,,,,,,1905000.0,,,,1905000.0,0.0
ADEUNIS,FR0013284627,Euronext Growth Paris,Euronext Growth,France,ALARF.PA,Communication Equipment,Technology,,0.035,,,,,1715.0,2581237.0,EUR,4227458.0,-0.07913,0.069,8.188406,-0.59,,371000.0,0.081,1979000.0,5370998.0,1.558,,,868666.0,-0.42316002
ADOCIA,FR0011184241,Euronext Paris,Compartment C,France,ADOC.PA,Biotechnology,Healthcare,10,-0.091,,,,8.818342,333602.0,134143304.0,EUR,128294168.0,-0.75415003,-0.034,-201.47058,-0.94,0.77679,7096000.0,0.389,10469000.0,12878000.0,0.789,-0.19805,,-7212000.0,-4.0623
ADOMOS,FR00140153H3,Euronext Growth Paris,Euronext Growth,France,ALADO.PA,Real Estate Services,Real Estate,,-94.398,,,,,806.0,225571.0,EUR,,0.0,1.213,2.9806263,-891800.0,,117720.0,,9165413.0,1190000.0,0.155,-0.18732001,-0.48041,1190000.0,-0.79061997
ADS MARITIME HOLDING PLC,CY0108052115,Euronext Growth Oslo,Euronext Growth,Cyprus,ADS.OL,Marine Shipping,Industrials,,-0.047,,,Infinity,,1500.0,177523376.0,NOK,173906368.0,6.63077,2.988114,0.8366481,0.0,,3873000.0,0.055,256000.0,130000.0,0.001,-0.024330001,0.03958,-364000.0,-7.77143
ADUX,FR0012821890,Euronext Growth Paris,Euronext Growth,France,ALDUX.PA,Advertising Agencies,Communication Services,,0.293,,,2.9464285,4.583333,7014.0,10278883.0,EUR,14459716.0,0.14597,0.532,3.1015036,0.56,0.36,1198000.0,0.192,5413000.0,23669000.0,3.8,0.0467,2.17168,7243000.0,0.10752
ADVENTURE,IT0005607715,Euronext Growth Milan,Euronext Growth,Italy,ADV.MI,Software - Application,Technology,,,,,,157.50002,3966.0,183140144.0,EUR,188599168.0,-0.0277,1.005,25.074627,-0.05,0.16,2531000.0,0.353,10510000.0,13756000.0,1.919,0.0013799999,-0.08831,4592000.0,0.05362
ADVICENNE,FR0013296746,Euronext Growth Paris,Euronext Growth,France,ALDVI.PA,Biotechnology,Healthcare,,0.755,,,,-9.833483,29698.0,31795114.0,EUR,45084220.0,-1.05275,-1.948,-1.1216632,-0.79,-0.2222,515000.0,0.042,18672000.0,5896000.0,0.478,-0.74299,,-962000.0,-1.33987
ADVINI,FR0000053043,Euronext Growth Paris,Euronext Growth,France,ALAVI.PA,Beverages - Wineries & Distilleries,Consumer Defensive,,-0.095,,1.25,25.892857,34.52381,409.0,54643004.0,EUR,235247712.0,0.00786,17.957,0.8074845,0.56,0.42,11485000.0,3.053,188354000.0,271683008.0,72.013,0.00999,0.02912,100684000.0,0.025899999
AEDES,IT0005349052,Euronext Milan,Compartment C,Italy,AEDES.MI,REIT - Retail,Real Estate,,0.271,,7.73,,,131100.0,4039191.0,EUR,5571371.0,1.46755,0.211,0.32890993,-0.0,,1472941.0,0.046,2937452.0,586708.0,0.018,-0.0727,0.11058,-733369.0,-1.0276899
AEFFE,IT0001384590,Euronext Milan,Compartment C,Italy,AEF.MI,Apparel Manufacturing,Consumer Cyclical,,1.042,,,2.3636363,-1.027668,68907.0,25590494.0,EUR,197626576.0,0.048189998,0.723,0.3596127,0.11,-0.253,12602482.0,0.128,183353568.0,232889056.0,2.366,-0.05841,0.17283002,3417137.0,-0.30488002
AELIS FARMA,FR0014007ZB4,Euronext Paris,Compartment B,France,AELIS.PA,Biotechnology,Healthcare,,0.658,,,,8.264706,27729.0,19153300.0,EUR,15299740.0,0.0,0.447,3.1431768,-0.6,0.17,10791000.0,0.79,6890000.0,2333000.0,0.171,-0.28502,-1.0208,2333000.0,-4.6346397
AEROPORTO GUGLIELMO MARCONI DI BOLOGNA,IT0001006128,Euronext Milan,Compartment B,Italy,ADB.MI,Airports & Air Services,Industrials,,0.477,4.17,,16.521738,17.351597,26556.0,411832544.0,EUR,438305568.0,0.13981,6.19,1.84168,0.69,0.657,91624000.0,2.536,118097000.0,176412992.0,4.883,0.053829998,0.1122,57027000.0,0.25160998
AF GRUPPEN,NO0003078107,Oslo Bors,Compartment A,Norway,AFG.OL,Engineering & Construction,Industrials,8,0.552,3.51,5.08,18.831821,16.393284,27585.0,20580589568.0,NOK,20524476416.0,0.03416,26.35,7.096774,9.93,11.40711,2391000064.0,21.725,1507000064.0,31992000512.0,292.406,0.05776,0.34669,11185000448.0,0.06485
AFYREN,FR0014005AC9,Euronext Growth Paris,Euronext Growth,France,ALAFY.PA,Specialty Chemicals,Basic Materials,,0.657,,,,-9.926874,26701.0,97581032.0,EUR,45968892.0,0.0,1.768,1.5356334,-0.44,-0.2735,27622000.0,1.058,2702000.0,2703000.0,0.104,-0.067090005,-0.22073999,323000.0,-3.0506601
AGFA-GEVAERT,BE0003755692,Euronext Brussels,Compartment B,Belgium,AGFB.BR,Specialty Industrial Machinery,Industrials,,0.603,,6.86,,9.771672,103553.0,78184368.0,EUR,193958336.0,-0.06516,1.813,0.27854386,-0.19,0.05168,65000000.0,0.411,177000000.0,1104999936.0,6.302,0.0056,-0.21572,329000000.0,-0.03891
AGILYX ASA,NO0010872468,Oslo Bors,Compartment B,Norway,AGLX.OL,Waste Management,Industrials,,0.547,,,,-8.761295,74225.0,1678886400.0,NOK,1509668224.0,0.0,11.115024,1.2001774,-2.01,-1.5226059,10736795.0,0.097,46634848.0,953069.0,0.009,-0.042140003,-0.18441999,369639.0,-13.42562
AGRIPOWER,FR0013452281,Euronext Growth Paris,Euronext Growth,France,ALAGP.PA,Utilities - Renewable,Utilities,,0.721,,,,8.666667,2102.0,12507430.0,EUR,4393236.0,-1.0448899,0.901,1.1542729,-1.04,0.12,1504357.0,0.418,2157420.0,3690536.0,1.026,-0.21583,-0.74591005,-1308585.0,-2.1256301
AgroGeneration,FR0010641449,Euronext Growth Paris,Euronext Growth,France,ALAGR.PA,Farm Products,Consumer Defensive,,1.274,,,,,193526.0,9483898.0,EUR,18640518.0,-0.06767,0.05,0.856,-0.01,,12000.0,0.0,9198000.0,22654000.0,0.103,0.011390001,-0.12604,5603000.0,0.02036
AJAX,NL0000018034,Euronext Amsterdam,Compartment B,Netherlands,AJAX.AS,Entertainment,Communication Services,,0.084,,,,-51.111107,746.0,168666656.0,EUR,226565664.0,-0.20962,10.313,0.892078,-2.04,-0.18,40295000.0,2.198,103694000.0,178128992.0,9.716,-0.07328,-0.17974001,159664000.0,-0.43925
AKASTOR,NO0010215684,Oslo Bors,Compartment B,Norway,AKAST.OL,Oil & Gas Equipment & Services,Energy,10,0.099,,6.02,,-101.07693,435888.0,3581414144.0,NOK,,-0.37949002,21.526,0.61042464,-0.58,-0.13,319000000.0,,284000000.0,390000000.0,,-0.0015700001,-0.02805,41000000.0,-0.103769995
AKER BIOMARINE ASA,NO0010886625,Oslo Bors,Compartment B,Norway,AKBM.OL,Packaged Foods,Consumer Defensive,,0.346,,,,27.543724,11443.0,9156235264.0,NOK,,-0.104540005,18.817612,5.547994,-0.86,3.790337,16900000.0,,182200000.0,218100000.0,,0.02056,-0.01762,97800000.0,0.056160003
AKER HORIZONS ASA,NO0010921232,Oslo Bors,Compartment B,Norway,AKH.OL,Utilities - Renewable,Utilities,,1.062,12.58,,,,4532800.0,27613948.0,NOK,2812613888.0,-1.1579599,1.162,0.034423407,-3.56,,39000000.0,0.056,1552000000.0,2544999936.0,3.69,-0.02454,-0.67974,1187000064.0,-1.5
AKER SOLUTIONS,NO0010716582,Oslo Bors,Compartment A,Norway,AKSO.OL,Oil & Gas Equipment & Services,Energy,8,-0.074,8.75,,7.2916665,11.00088,563637.0,18682210304.0,NOK,15890662400.0,0.04079,23.616,1.6302507,5.28,3.49972,5667999744.0,11.754,3135000064.0,62444998656.0,129.45,0.05159,0.22635001,4527000064.0,0.05183
AKOBO MINERALS AB (PUB),SE0015193412,Euronext Growth Oslo,Euronext Growth,Sweden,AKOBO.OL,Gold,Basic Materials,,0.983,,,,,206862.0,498054080.0,NOK,,0.0,-0.969,-2.2394223,-0.92,,,,,,,-0.08858,,,0.0
AKVA GROUP,NO0003097503,Oslo Bors,Compartment B,Norway,AKVA.OL,Farm & Heavy Construction Machinery,Industrials,8,-0.107,2.09,1.94,19.153225,11.815921,3317.0,3457591808.0,NOK,4778997248.0,0.040949997,37.73,2.5178902,4.96,8.04,285446016.0,7.843,1579883008.0,4404896768.0,121.123,0.04227,0.13247,1880845952.0,0.039619997
AKWEL,FR0000053027,Euronext Paris,Compartment B,France,AKW.PA,Auto Parts,Consumer Cyclical,8,0.839,3.85,2.36,13.254238,10.711008,26470.0,207575616.0,EUR,90448728.0,0.01811,22.521,0.34723148,0.59,0.73009,129408000.0,4.875,12281000.0,970851968.0,35.01,0.030299999,0.02923,525508000.0,0.05441
ALAN ALLMAN ASSOCIATES,FR0000062465,Euronext Paris,Compartment B,France,AAA.PA,Consulting Services,Industrials,,-0.621,,,,14.680851,601.0,156568592.0,EUR,333084608.0,-0.06401,0.915,3.7704918,-0.5,0.235,9803000.0,0.215,185358000.0,353286016.0,7.754,0.03004,-0.41669998,53393000.0,0.03816
ALERION,IT0004720733,Euronext Milan,Compartment A,Italy,ARN.MI,Utilities - Renewable,Utilities,9,0.558,3.26,2.43,12.051282,15.284552,4528.0,1007497088.0,EUR,1707507072.0,0.36818,6.397,2.9388776,1.56,1.23,254148000.0,4.742,947499008.0,226486000.0,4.229,0.04991,0.25957,208968992.0,0.31603
ALFEN,NL0012817175,Euronext Amsterdam,Compartment B,Netherlands,ALFEN.AS,Electrical Equipment & Parts,Industrials,3,1.646,,,,28.092567,255722.0,197165360.0,EUR,218995984.0,-0.00043000001,7.026,1.2906348,-0.01,0.32279,26673000.0,1.227,47373000.0,435624000.0,20.09,0.010679999,-0.00124,124891000.0,0.022079999
ALFIO BARDOLLA,IT0005244030,Euronext Growth Milan,Euronext Growth,Italy,ABTG.MI,Education & Training Services,Consumer Defensive,,0.412,,,18.0,,2450.0,8280348.0,EUR,9331070.0,0.01626,0.964,1.680498,0.09,,817135.0,0.16,1859589.0,21273536.0,4.161,0.043649998,0.061139997,2717388.0,0.09495
ALFONSINO,IT0005466039,Euronext Growth Milan,Euronext Growth,Italy,ALFO.MI,Software - Application,Technology,,1.903,,,,5.475,26000.0,2873170.0,EUR,3881244.0,-0.06572,0.042,5.214286,-0.02,0.04,314330.0,0.024,1335523.0,3581534.0,0.273,-0.04488,-0.45084,337913.0,-0.100559995
ALLCORE,IT0005461303,Euronext Growth Milan,Euronext Growth,Italy,CORE.MI,Specialty Business Services,Industrials,,0.443,5.88,,17.375,7.1282053,16510.0,20836834.0,EUR,24867224.0,0.02628,1.106,1.2567812,0.08,0.195,3548953.0,0.238,7530238.0,46303612.0,3.033,0.04823,0.080340005,8235032.0,0.04977
Almunda Professional N.V.,NL0010696704,Euronext Amsterdam,Compartment C,Netherlands,AMUND.AS,Information Technology Services,Technology,,0.198,5.5,,,,120.0,22945988.0,EUR,32347560.0,-0.03771,0.656,1.6615853,-0.06,,3100000.0,0.161,12720000.0,27554000.0,1.419,0.0028400002,-0.07606,7655000.0,-0.01684
ALPES (COMPAGNIE),FR0000053324,Euronext Paris,Compartment B,France,CDA.PA,Leisure,Consumer Cyclical,6,0.956,3.99,2.45,13.277513,10.817068,20805.0,1407110912.0,EUR,2811301376.0,0.076630004,21.554,1.287464,2.09,2.56539,160698000.0,3.171,1505033984.0,1397442048.0,27.535,0.03777,0.10528,1220886016.0,-0.025880001
ALTAMIR,FR0000053837,Euronext Paris,Compartment B,France,LTA.PA,Asset Management,Financial Services,,0.423,3.72,4.23,55.882355,178.125,120.0,1039719680.0,EUR,1032432384.0,0.0,33.56,0.8492252,0.51,0.16,52264712.0,1.433,44873256.0,-23830528.0,-0.653,-0.01475,-0.02671,-36090584.0,1.6709
ALTAREIT,FR0000039216,Euronext Paris,Compartment B,France,AREIT.PA,Real Estate - Development,Real Estate,,0.125,,,,,1.0,996598272.0,EUR,1680486272.0,-0.025009999,407.974,1.3971479,-33.52,,188300000.0,107.699,834099968.0,2343200000.0,1340.21,0.00426,-0.062459998,369900000.0,0.01768
ALTEA GREEN POWER,IT0005472730,Euronext Milan,Compartment C,Italy,AGP.MI,Solar,Technology,,0.939,,,8.258427,6.14379,25996.0,134031480.0,EUR,120793472.0,0.45503,2.309,3.183196,0.89,1.19633,13238000.0,0.726,0.0,34536096.0,1.927,0.16320999,0.40803,26795454.0,0.48215
ALTHEORA,FR0000061244,Euronext Growth Paris,Euronext Growth,France,ALORA.PA,Electrical Equipment & Parts,Industrials,,0.82,,,,8.466667,736.0,6836828.0,EUR,18103828.0,-0.05345,0.696,0.7298851,-0.14,0.06,699000.0,0.052,11966000.0,34964000.0,2.6,,,21573000.0,-0.03533
ALTRI SGPS,PTALT0AE0002,Euronext Lisbon,Compartment B,Portugal,ALTR.LS,Paper & Paper Products,Basic Materials,7,0.143,6.3,5.38,34.214287,17.502192,175887.0,982580736.0,EUR,1443303808.0,0.043330003,2.011,2.3818996,0.14,0.27368,92132216.0,0.449,543862848.0,691992960.0,3.373,0.01381,0.06705,138162368.0,-0.00566
ALUMEXX N.V.,NL0012194724,Euronext Amsterdam,Compartment C,Netherlands,ALX.AS,Internet Retail,Consumer Cyclical,,0.301,,,,,2092.0,22268286.0,EUR,51630500.0,-0.01402,0.244,6.147541,-0.04,,248000.0,0.013,24605000.0,39869000.0,2.317,0.01784,-0.12187,21077000.0,0.03192
AMATHEON AGRI HOLDING N.V.,NL0010273694,Euronext Access Paris,Euronext Access,Netherlands,MLAAH.PA,Farm Products,Consumer Defensive,,-0.113827,,,,,56.0,10366909.0,EUR,59488884.0,-1.118,0.025,0.52,-0.02,,,,,9466000.0,0.016,-0.08552,-0.1737,1876000.0,-1.13807
AMBROMOBILIARE,IT0004779515,Euronext Growth Milan,Euronext Growth,Italy,AMB.MI,Capital Markets,Financial Services,,0.0,,,,,200.0,1905632.0,EUR,2277804.0,-0.35754,1.102,0.6352087,-0.15,,193123.0,0.071,551863.0,1135772.0,0.417,-0.08974,-0.12678,424129.0,-1.30419
AMG Critical Materials N.V.,NL0000888691,Euronext Amsterdam,Compartment B,Netherlands,AMG.AS,Other Industrial Metals & Mining,Basic Materials,1,1.217,1.11,1.94,40.531914,35.269585,153315.0,1229454336.0,EUR,1867670528.0,0.02273,15.147985,2.5151858,0.94,1.0802509,219700992.0,6.722,824713984.0,1623150976.0,50.359,0.052550003,0.072909996,360736000.0,0.0783
AMOEBA,FR0011051598,Euronext Growth Paris,Euronext Growth,France,ALMIB.PA,Agricultural Inputs,Basic Materials,,0.012,,,,-11.400456,191144.0,65441592.0,EUR,65055496.0,0.0,-0.276,-3.442029,-0.14,-0.08333,741838.0,0.014,16765366.0,682459.0,0.013,-0.60816,,-944741.0,-9.36487
ANDFJORD SALMON GROUP AS,NO0010829765,Euronext Growth Oslo,Euronext Growth,Norway,NO0010829765.SG,,,,,,,,,0.0,,EUR,,,,,,,,,,,,,,,
"ANDINO INVERSIONES GLOBAL, S.A.",ES0105744009,Euronext Access Paris,Euronext Access,Spain,MLAIG.PA,Conglomerates,Industrials,,,,,49.000004,,17.0,60512000.0,EUR,,0.0,,,0.06,,,,,,,,,,0.0
ANIMA HOLDING,IT0004998065,Euronext Milan,Compartment A,Italy,ANIM.MI,Asset Management,Financial Services,6,0.715,7.34,5.92,8.347561,8.539171,147267.0,2226102016.0,EUR,1822354304.0,0.51716,5.332,1.2837584,0.82,0.8016,1052526976.0,3.236,632107008.0,515700000.0,1.586,,0.15635,417000000.0,-0.03624
ANTARES VISION,IT0005366601,Euronext Milan,Compartment B,Italy,IT0005366601.SG,,,,,,,,,0.0,,EUR,,,,,,,,,,,,,,,
ANTIN INFRA PARTN,FR0014005AL0,Euronext Paris,Compartment A,France,ANTIN.PA,Asset Management,Financial Services,,1.378,7.32,,14.608696,15.9362545,22137.0,1801028480.0,EUR,1490026240.0,0.38709998,2.716,3.71134,0.69,0.63252,361459008.0,2.023,70019000.0,319647008.0,1.788,0.17297001,0.25433,221892992.0,0.47952998
APERAM,LU0569974404,Euronext Amsterdam,Compartment A,Luxembourg,APAM.AS,Steel,Basic Materials,4,1.595,4.91,6.2,325.23077,10.611677,172121.0,3056391680.0,EUR,4051619840.0,0.00148,44.165,0.9573191,0.13,3.98429,325000000.0,4.493,1303000064.0,6080000000.0,84.074,0.00908,0.0030399999,339000000.0,-0.00074
APPEAR ASA,NO0013683821,Oslo Bors,Compartment B,Norway,APR.OL,Computer Hardware,Technology,,,,,22.244898,10.061539,116785.0,2667846656.0,NOK,2071360640.0,0.16126,15.371,4.2547655,2.94,6.5,499097984.0,13.013,62107000.0,800942976.0,21.22,0.16213,0.30135,336879008.0,0.07468
AQUA BIO TECHNOLOGY,NO0010307135,Oslo Bors,Compartment C,Norway,ABTEC.OL,Biotechnology,Healthcare,,0.257,,,,,442021.0,26334230.0,NOK,122690008.0,-1.42553,0.067,2.5373135,-4.38,,3105153.0,0.029,109021288.0,101508080.0,0.928,-0.34168,,491262.0,0.117580004
AQUAFIL,IT0005241192,Euronext Milan,Compartment C,Italy,IT0005241192.SG,,,,,,,,,0.0,,EUR,,,,,,,,,,,,,,,
AQUILA,FR0010340711,Euronext Growth Paris,Euronext Growth,France,ALAQU.PA,Security & Protection Services,Industrials,,0.622,9.11,7.55,10.378378,,239.0,6322690.0,EUR,4931066.0,0.01915,1.999,1.9209604,0.37,,1443418.0,0.875,38484.0,31153660.0,18.881,0.045479998,0.1682,1000715.0,0.00863
ARAMIS GROUP,FR0014003U94,Euronext Paris,Compartment B,France,ARAMI.PA,Auto & Truck Dealerships,Consumer Cyclical,,0.845,,,17.541668,8.3085,16092.0,345642144.0,EUR,459287104.0,0.00835,2.499,1.6846738,0.24,0.50671,46664000.0,0.567,158560000.0,2379619072.0,28.756,0.03575,0.100360006,229270000.0,0.016449999
ARCHOS,FR001400KO61,Euronext Growth Paris,Euronext Growth,France,ALJXR.PA,Consumer Electronics,Technology,,2.248,,,9.780001,9.780001,76158.0,11355171.0,EUR,14913171.0,0.02467,-0.015,-13.040001,0.02,0.02,10208000.0,0.176,8038000.0,31371000.0,0.54,0.02599,0.51393,8666000.0,0.04363
ARCTIC BIOSCIENCE AS,NO0010859580,Euronext Growth Oslo,Euronext Growth,Norway,ABS.OL,Biotechnology,Healthcare,,1.273,,,,-16.75,14500.0,90303456.0,NOK,142649376.0,-0.9448,7.271,0.46073443,-1.67,-0.2,2490109.0,0.093,55160704.0,45895408.0,1.761,-0.088240005,-0.2015,14436359.0,-0.86530995
ARCTIC FISH HOLDING AS,NO0010917719,Euronext Growth Oslo,Euronext Growth,Norway,AFISH.OL,Farm Products,Consumer Defensive,,-0.203,,,,6.6762724,2336.0,1251137664.0,NOK,1391454720.0,-0.28042,24.626661,1.1288579,-8.38,4.164,11062000.0,0.246,151379008.0,89336000.0,1.997,-0.02418,-0.26843,29731000.0,0.30738002
