Company,ISIN,Market,Compartment,Country,Ticker
DBT,FR001400LO86,Euronext Growth Paris,Euronext Growth,France,ALDBT.PA
DBV TECHNOLOGIES,FR0010417345,Euronext Paris,Compartment B,France,DBV.PA
DECEUNINCK,BE0003789063,Euronext Brussels,Compartment B,Belgium,DECB.BR
DEDEM,IT0005659724,Euronext Growth Milan,Euronext Growth,Italy,DDM.MI
DEEP VALUE DRILLER AS,NO0010955917,Euronext Growth Oslo,Euronext Growth,Norway,DVD.OL
DEEZER,FR001400AYG6,Euronext Paris,Compartment B,France,DEEZR.PA
DEKUPLE,FR0000062978,Euronext Paris,Compartment C,France,DKUPL.PA
DELFINGEN INDUSTRY,FR0000054132,Euronext Growth Paris,Euronext Growth,France,ALDEL.PA
DELLIA GROUP,NO0012697095,Oslo Bors,Compartment C,Norway,DELIA.OL
DELTA PLUS GROUP,FR0013283108,Euronext Growth Paris,Euronext Growth,France,ALDLT.PA
DEODATO.GALLERY,IT0005528937,Euronext Growth Milan,Euronext Growth,Italy,ART.MI
DERICHEBOURG,FR0000053381,Euronext Paris,Compartment B,France,DBG.PA
DESERT CONTROL AS,NO0010963275,Euronext Growth Oslo,Euronext Growth,Norway,DSRT.OL
DESTINATION ITALIA,IT0005454027,Euronext Growth Milan,Euronext Growth,Italy,DIT.MI
DEVERNOIS,FR0000060840,Euronext Growth Paris,Euronext Growth,France,ALDEV.PA
DEXELANCE,IT0005543480,Euronext Milan,Compartment B,Italy,DEX.MI
DHH,IT0005203622,Euronext Growth Milan,Euronext Growth,Italy,DHH.MI
DIADEMA CAPITAL,IT0005605636,Euronext Growth Milan,Euronext Growth,Italy,DIAD.MI
DIAGNOSTIC MEDICAL SYSTEMS,FR0012202497,Euronext Growth Paris,Euronext Growth,France,ALDMS.PA
DIGITAL BROS,IT0001469995,Euronext Milan,Compartment B,Italy,DIB.MI
DIGITAL VALUE,IT0005347429,Euronext Milan,Compartment B,Italy,DGV.MI
DIGITOUCH,IT0005089476,Euronext Growth Milan,Euronext Growth,Italy,DGT.MI
DIRECTA SIM,IT0001463063,Euronext Growth Milan,Euronext Growth,Italy,D.MI
DISTRIBUZIONE ELETTRICA ADRIATICA,IT0005600249,Euronext Growth Milan,Euronext Growth,Italy,DEA.MI
DNO,NO0003921009,Oslo Bors,Compartment B,Norway,DNO.OL
DNXCORP,FR0010436584,Euronext Growth Paris,Euronext Growth,France,ALDNX.PA
DOCK.PETR.AMBES AM,FR0000065260,Euronext Paris,Compartment C,France,DPAM.PA
DOF GROUP ASA,NO0012851874,Oslo Bors,Compartment B,Norway,DOFG.OL
DOLFINES,FR001400SP13,Euronext Growth Paris,Euronext Growth,France,ALDOL.PA
DOLPHIN DRILLING AS,NO0013711739,Euronext Growth Oslo,Euronext Growth,Norway,DDRIL.OL
DONEGAL INVESTMENT GROUP PLC,IE000Y2HN3O9,Euronext Growth Dublin,Euronext Growth,Ireland,DQ7A.IR
DONTNOD Entertainment,FR0013331212,Euronext Growth Paris,Euronext Growth,France,ALDNE.PA
DOTSTAY,IT0005523839,Euronext Growth Milan,Euronext Growth,Italy,DOT.MI
DOVALUE,IT0005610958,Euronext Milan,Compartment B,Italy,DOV.MI
DOXEE,IT0005394413,Euronext Growth Milan,Euronext Growth,Italy,DOX.MI
DRONE VOLT,FR001400SVN0,Euronext Growth Paris,Euronext Growth,France,ALDRV.PA
DYNAFOND,FR0000052920,Euronext Access Paris,Euronext Access,France,
E.P.H.,IT0005623845,Euronext Milan,Compartment C,Italy,EPH.MI
E.T.S. Engineering and Technical Services,IT0005669558,Euronext Growth Milan,Euronext Growth,Italy,ETS.MI
EAGLE FOOTBALL GROUP,FR0010428771,Euronext Paris,Compartment B,France,EFG.PA
EAM SOLAR AS,NO0013601245,Oslo Bors,Euronext Growth,Norway,EAM.OL
EASE2PAY NV,NL0000345627,Euronext Amsterdam,Compartment C,Netherlands,EAS2P.AS
EAUX DE ROYAN,FR0007200100,Euronext Access Paris,Euronext Access,France,MLEDR.PA
EAVS,FR0010536185,Euronext Access Paris,Euronext Access,France,
EBUSCO HOLDING N.V.,NL0015002AG2,Euronext Amsterdam,Compartment B,Netherlands,EBUS.AS
ECOMEMBRANE,IT0005543332,Euronext Growth Milan,Euronext Growth,Italy,ECMB.MI
ECOMIAM SA,FR0013534617,Euronext Growth Paris,Euronext Growth,France,ALECO.PA
ECONOCOM GROUP,BE0974313455,Euronext Brussels,Compartment B,Belgium,ECONB.BR
ECOSLOPS,FR0011490648,Euronext Growth Paris,Euronext Growth,France,FR0011490648.SG
ECOSUNTEK,IT0005654766,Euronext Growth Milan,Euronext Growth,Italy,ECK.MI
EDGELAB,IT0005627762,Euronext Growth Milan,Euronext Growth,Italy,ELB.MI
EDIL SAN FELICE,IT0005561441,Euronext Growth Milan,Euronext Growth,Italy,ESF.MI
EDILIZIACROBATICA,IT0005351504,Euronext Growth Milan,Euronext Growth,Italy,EDAC.MI
EDITIONS DU SIGNE,FR0000052755,Euronext Access Paris,Euronext Access,France,MLEDS.PA
EDUFORM'ACTION,FR0010882886,Euronext Access Paris,Euronext Access,France,MLEFA.PA
EGIDE,FR0000072373,Euronext Growth Paris,Euronext Growth,France,ALGID.PA
E-GLOBE,IT0005557514,Euronext Growth Milan,Euronext Growth,Italy,EGB.MI
EGOMNIA,IT0005586497,Euronext Growth Milan,Euronext Growth,Italy,
EIDESVIK OFFSHORE,NO0010263023,Oslo Bors,Compartment C,Norway,EIOF.OL
EKINOPS,FR0011466069,Euronext Paris,Compartment C,France,EKI.PA
EKOPAK NV,BE0974380124,Euronext Brussels,Compartment B,Belgium,BE0974380124.SG
EL.EN.,IT0005453250,Euronext Milan,Compartment B,Italy,ELN.MI
ELEC.STRASBOURG,FR0000031023,Euronext Paris,Compartment B,France,ELEC.PA
ELECTRICITE ET EAUX DE MADAGASCAR,FR0000035719,Euronext Paris,Compartment C,France,EEM.PA
ELECTROMAGNETIC GEOSERVICES,NO0010358484,Oslo Bors,Compartment C,Norway,EMGS.OL
ELEKTROIMPORTØREN AS,NO0010911902,Euronext Growth Oslo,Euronext Growth,Norway,ELIMP.OL
ELES,IT0005373417,Euronext Growth Milan,Euronext Growth,Italy,ELES.MI
ELICA,IT0003404214,Euronext Milan,Compartment C,Italy,ELC.MI
ELIOR GROUP,FR0011950732,Euronext Paris,Compartment B,France,ELIOR.PA
ELKEM,NO0010816093,Oslo Bors,Compartment A,Norway,ELK.OL
ELLIPTIC LABORATORIES ASA,NO0010722283,Oslo Bors,Compartment B,Norway,ELABS.OL
ELMERA GROUP ASA,NO0010815673,Oslo Bors,Compartment B,Norway,ELMRA.OL
ELOPAK ASA,NO0011002586,Oslo Bors,Compartment B,Norway,NO0011002586.SG
ELSA SOLUTIONS,IT0005561466,Euronext Growth Milan,Euronext Growth,Italy,ELSA.MI
EMAK,IT0001237053,Euronext Milan,Compartment B,Italy,EM.MI
EMBENTION SISTEMAS INTELIGENTES SA,ES0105639001,Euronext Access Paris,Euronext Access,Spain,MLUAV.PA
EMEIS,FR001400NLM4,Euronext Paris,Compartment A,France,EMEIS.PA
EMMA VILLAS,IT0005562183,Euronext Growth Milan,Euronext Growth,Italy,EAV.MI
EMOVA GROUP,FR0013356755,Euronext Growth Paris,Euronext Growth,France,ALEMV.PA
ENA (ex-S.I.F. ITALIA),IT0005468290,Euronext Growth Milan,Euronext Growth,Italy,ENA.MI
ENAV,IT0005176406,Euronext Milan,Compartment A,Italy,ENAV.MI
ENCRES DUBUIT,FR0004030708,Euronext Growth Paris,Euronext Growth,France,ALDUB.PA
ENDÚR,NO0012555459,Oslo Bors,Compartment C,Norway,ENDUR.OL
ENENSYS,FR0013330792,Euronext Growth Paris,Euronext Growth,France,ALNN6.PA
ENERGEIA AS,NO0013698431,Euronext Growth Oslo,Euronext Growth,Norway,ENERG.OL
ENERGISME,FR0013399359,Euronext Growth Paris,Euronext Growth,France,ALNRG.PA
ENERGY,IT0005500712,Euronext Growth Milan,Euronext Growth,Italy,ENY.MI
ENERGY SOLAR TECH,ES0105687000,Euronext Growth Paris,Euronext Growth,Spain,ETC.MC
ENERGY TIME,IT0005660219,Euronext Growth Milan,Euronext Growth,Italy,ET.MI
ENERGYVISION ,BE0974499312,Euronext Paris,Compartment B,Belgium,ENRGY.BR
ENERTRONICA SANTERNO,IT0004887409,Euronext Growth Milan,Euronext Growth,Italy,
ENERVIT,IT0004356751,Euronext Milan,Compartment C,Italy,ENV.MI
ENOGIA,FR0014004974,Euronext Growth Paris,Euronext Growth,France,ALENO.PA
E-NOVIA,IT0005391229,Euronext Growth Milan,Euronext Growth,Italy,
ENSURGE MICROPOWER ASA,NO0013186460,Oslo Bors,Compartment C,Norway,ENSU.OL
ENTECH,FR0014004362,Euronext Growth Paris,Euronext Growth,France,ALESE.PA
ENTRA,NO0010716418,Oslo Bors,Compartment A,Norway,ENTRA.OL
ENVIPCO,NL0015000GX8,Euronext Amsterdam,Compartment C,Netherlands,ENVI.AS
EO2,FR0010465534,Euronext Growth Paris,Euronext Growth,France,ALEO2.PA
E-PANGO,FR0014004339,Euronext Growth Paris,Euronext Growth,France,ALAGO.PA
EPRCOMUNICAZIONE,IT0005519837,Euronext Growth Milan,Euronext Growth,Italy,EPRB.MI
EQUASENS,FR0012882389,Euronext Paris,Compartment B,France,EQS.PA
EQUITA GROUP,IT0005312027,Euronext Milan,Compartment B,Italy,EQUI.MI
EQVA ASA,NO0010708605,Oslo Bors,Compartment C,Norway,EQVA.OL
ER CAPITAL N.V.,NL0010389508,Euronext Amsterdam,Compartment C,Netherlands,ERC.AS
ERAMET,FR0000131757,Euronext Paris,Compartment A,France,ERA.PA
ERREDUE,IT0005521247,Euronext Growth Milan,Euronext Growth,Italy,RDUE.MI
ESAUTOMOTION,IT0005337107,Euronext Growth Milan,Euronext Growth,Italy,ESAU.MI
ESI,IT0005421885,Euronext Growth Milan,Euronext Growth,Italy,ESIGM.MI
ESPE,IT0005573818,Euronext Growth Milan,Euronext Growth,Italy,ESPE.MI
ESPRINET,IT0003850929,Euronext Milan,Compartment B,Italy,PRT.MI
Estoril-Sol SGPS-Nominativas,PTESO0AM0000,Euronext Lisbon,Compartment C,Portugal,ESON.LS
ESTRIMA,IT0005468191,Euronext Growth Milan,Euronext Growth,Italy,ESTM.MI
ETHERO,FR0010424697,Euronext Growth Paris,Euronext Growth,France,FR0010424697.SG
EUKEDOS,IT0004818297,Euronext Milan,Compartment C,Italy,EUK.MI
EURASIA GROUPE,FR0010844001,Euronext Growth Paris,Euronext Growth,France,
EUROAPI SA,FR0014008VX5,Euronext Paris,Compartment B,France,EAPI.PA
EUROBIO-SCIENTIFIC,FR0013240934,Euronext Growth Paris,Euronext Growth,France,ALERS.PA
EUROFINS CEREP,FR0013256518,Euronext Growth Paris,Euronext Growth,France,ALECR.PA
EUROGROUP LAMINATIONS,IT0005527616,Euronext Milan,Compartment B,Italy,EGLA.MI
EUROLAND CORPORATE,FR0010157115,Euronext Growth Paris,Euronext Growth,France,ALERO.PA
EUROPACORP,FR0010490920,Euronext Growth Paris,Euronext Growth,France,ALECP.PA
European Medical Solutions,BE0974497290,Euronext Growth Brussels,Euronext Growth,Belgium,ALEMS.BR
EUROPLASMA,FR0014011QJ8,Euronext Growth Paris,Euronext Growth,France,ALEUP.PA
EUROPRIS,NO0010735343,Oslo Bors,Compartment A,Norway,EPR.OL
EUROTECH,IT0003895668,Euronext Milan,Compartment C,Italy,ETH.MI
EUTELSAT COMMUNIC.,FR0010221234,Euronext Paris,Compartment A,France,ETL.PA
EVISO,IT0005430936,Euronext Growth Milan,Euronext Growth,Italy,EVISO.MI
EVS BROADC.EQUIPM.,BE0003820371,Euronext Brussels,Compartment B,Belgium,EVS.BR
EXACOMPTA CLAIREFONTAINE,FR0000064164,Euronext Growth Paris,Euronext Growth,France,ALEXA.PA
EXACT THERAPEUTICS,NO0010852213,Euronext Growth Oslo,Euronext Growth,Norway,EXTX.OL
EXAIL TECHNOLOGIES,FR0000062671,Euronext Paris,Compartment B,France,EXA.PA
EXECUS,IT0005557530,Euronext Growth Milan,Euronext Growth,Italy,EXEC.MI
EXEL INDUSTRIES,FR0004527638,Euronext Paris,Compartment B,France,EXE.PA
EXMAR ord.,BE0003808251,Euronext Brussels,Compartment B,Belgium,EXM.BR
EXOSENS,FR001400Q9V2,Euronext Paris,Compartment A,France,EXENS.PA
EXPERT.AI,IT0004496029,Euronext Growth Milan,Euronext Growth,Italy,EXAI.MI
EXPLOSIFS PROD.CHI,FR0014003AQ4,Euronext Paris,Compartment B,France,EXPL.PA
FACEPHI,ES0105029005,Euronext Growth Paris,Euronext Growth,Spain,FACE.MC
FAE TECHNOLOGY,IT0005500688,Euronext Growth Milan,Euronext Growth,Italy,FAE.MI
FAGRON,BE0003874915,Euronext Brussels,Compartment A,Belgium,FAGR.BR
FARMACOSMO,IT0005487670,Euronext Growth Milan,Euronext Growth,Italy,COSMO.MI
FARMINVESTE,PTFNV1AM0002,Euronext Access Lisbon,Euronext Access,Portugal,MLFMV.LS
FBD HOLDINGS PLC,IE0003290289,Euronext Dublin,Compartment B,Ireland,EG7.IR
FD,FR0012300424,Euronext Access Paris,Euronext Access,France,MLFDV.PA
FERM.CASINO MUNICIPAL CANNES,FR0000062101,Euronext Paris,Compartment B,France,FCMC.PA
FERMENTALG,FR0011271600,Euronext Growth Paris,Euronext Growth,France,ALGAE.PA
FERRETTI,IT0005383291,Euronext Milan,Compartment B,Italy,YACHT.MI
FIDIA,IT0005654683,Euronext Milan,Compartment C,Italy,FDA.MI
FIDUCIAL OFF.SOL.,FR0000061418,Euronext Paris,Compartment C,France,SACI.PA
FIDUCIAL REAL EST.,FR0000060535,Euronext Paris,Compartment B,France,ORIA.PA
FIERA MILANO,IT0003365613,Euronext Milan,Compartment B,Italy,FM.MI
FIGEAC AERO,FR0011665280,Euronext Paris,Compartment B,France,FGA.PA
FILA,IT0004967292,Euronext Milan,Compartment B,Italy,FILA.MI
FILL UP MEDIA S.A.,FR001400AEM6,Euronext Growth Paris,Euronext Growth,France,ALFUM.PA
FINANCIERE MARJOS,FR0000060824,Euronext Paris,Compartment C,France,FINM.PA
FINANZA.TECH,IT0005475162,Euronext Growth Milan,Euronext Growth,Italy,FTC.MI
FINAXO ENVIRONNEMENT,FR0010487272,Euronext Access Paris,Euronext Access,France,MLFXO.PA
FINCANTIERI,IT0005599938,Euronext Milan,Compartment B,Italy,FCT.MI
FINE FOODS & PHARMACEUTICALS NTM,IT0005215329,Euronext Milan,Compartment B,Italy,FF.MI
FIRST CAPITAL,IT0005252736,Euronext Growth Milan,Euronext Growth,Italy,FIC.MI
FJORD DEFENCE GROUP ASA,NO0013647693,Oslo Bors,Compartment C,Norway,DFENS.OL
FLEKKEFJORD SPAREB,NO0013209858,Euronext Growth Oslo,Euronext Growth,Norway,FFSB.OL
FLEURY MICHON,FR0000074759,Euronext Growth Paris,Euronext Growth,France,FR0000074759.SG
FLEXDEAL,PTFXD0AM0018,Euronext Lisbon,Compartment C,Portugal,FLEXD.LS
FLORENTAISE S.A.,FR001400GO75,Euronext Growth Paris,Euronext Growth,France,ALFLO.PA
FLORIDIENNE,BE0974502347,Euronext Brussels,Compartment B,Belgium,FLOB.BR
FLOWSPARKS,BE0003847648,Euronext Access Brussels,Euronext Access,Belgium,FLSP.BR
FLUXYS BELGIUM,BE0974265945,Euronext Brussels,Compartment B,Belgium,FLUX.BR
FNAC DARTY,FR0011476928,Euronext Paris,Compartment B,France,FNAC.PA
FNM,IT0000060886,Euronext Milan,Compartment B,Italy,FNM.MI
FNP TECHNOLOGIES SA,FR0013230067,Euronext Access Paris,Euronext Access,France,MLFNP.PA
FONCIERE 7 INVEST,FR0000065930,Euronext Paris,Compartment C,France,LEBL.PA
FONCIERE VINDI,FR0011605617,Euronext Access Paris,Euronext Access,France,MLVIN.PA
FONCIERE VOLTA,FR0000053944,Euronext Paris,Compartment C,France,SPEL.PA
FOPE,IT0005203424,Euronext Growth Milan,Euronext Growth,Italy,FPE.MI
FORFARMERS,NL0011832811,Euronext Amsterdam,Compartment B,Netherlands,FFARM.AS
FORSEE POWER,FR0014005SB3,Euronext Growth Paris ,Euronext Growth,France,
FORVIA,FR0000121147,Euronext Paris,Compartment A,France,FRVIA.PA
FOUNTAIN,BE0003752665,Euronext Brussels,Compartment C,Belgium,FOU.BR
FOUNTAINE PAJOT,FR0010485268,Euronext Growth Paris,Euronext Growth,France,ALFPC.PA
FRANCAISE ENERGIE,FR0013030152,Euronext Paris,Compartment B,France,FDE.PA
FRANCE TOURISME IMMOBILIER,FR0010823724,Euronext Access Paris,Euronext Access,France,MLFTI.PA
FRANCHETTI,IT0005508574,Euronext Growth Milan,Euronext Growth,Italy,FCH.MI
FRANCHI UMBERTO MARMI,IT0005335754,Euronext Growth Milan,Euronext Growth,Italy,FUM.MI
FREELANCE.COM,FR0004187367,Euronext Growth Paris,Euronext Growth,France,ALFRE.PA
FRENDY ENERGY,IT0004819857,Euronext Growth Milan,Euronext Growth,Italy,FRE.MI
FSDV,FR0000031973,Euronext Paris,Compartment C,France,FSDV.PA
FUGRO,NL00150003E1,Euronext Amsterdam,Compartment A,Netherlands,FUR.AS
FUT.CLUBE PORTO,PTFCP0AM0008,Euronext Lisbon,Compartment C,Portugal,FCP.LS
G.A.I.,FR0000053415,Euronext Access Paris,Euronext Access,France,MLGAI.PA
G.M. LEATHER,IT0005498610,Euronext Growth Milan,Euronext Growth,Italy,GML.MI
GABETTI,IT0005023038,Euronext Milan,Compartment C,Italy,GAB.MI
gAIn360,IT0005672461,Euronext Growth Milan,Euronext Growth,Italy,GAIN.MI
GALAPAGOS,BE0003818359,Euronext Amsterdam,Compartment A,Belgium,GLPG.AS
GALEO,FR0011100759,Euronext Access Paris,Euronext Access,France,MLGAL.PA
GAMBERO ROSSO,IT0005122392,Euronext Growth Milan,Euronext Growth,Italy,GAMB.MI
GAROFALO HEALTH CARE,IT0005345233,Euronext Milan,Compartment B,Italy,GHC.MI
GAS PLUS,IT0004098510,Euronext Milan,Compartment C,Italy,GSP.MI
GASCOGNE,FR0000124414,Euronext Growth Paris,Euronext Growth,France,ALBI.PA
GAUMONT,FR0000034894,Euronext Paris,Compartment B,France,GAM.PA
GEA GRENOBL.ELECT.,FR0000053035,Euronext Paris,Compartment C,France,GEA.PA
GECI INTL,FR001400M1R1,Euronext Growth Paris,Euronext Growth,France,ALGEC.PA
GEFRAN,IT0003203947,Euronext Milan,Compartment C,Italy,GE.MI
GEL,IT0005312365,Euronext Growth Milan,Euronext Growth,Italy,GEL.MI
GENERALFINANCE,IT0005144784,Euronext Milan,Compartment C,Italy,GF.MI
GENFIT,FR0004163111,Euronext Paris,Compartment B,France,GNFT.PA
GENOWAY,FR0004053510,Euronext Growth Paris,Euronext Growth,France,ALGEN.PA
GENSIGHT BIOLOGICS,FR0013183985,Euronext Paris,Compartment C,France,SIGHT.PA
GENTIAN DIAGNOSTICS ASA,NO0010748866,Oslo Bors,Compartment C,Norway,GENT.OL
GENTILI MOSCONI,IT0005531261,Euronext Growth Milan,Euronext Growth,Italy,GM.MI
GENTLEMEN'S EQUITY SA,PTGVE1AE0009,Euronext Access Paris,Euronext Access,Portugal,MLGEQ.PA
GEOX,IT0003697080,Euronext Milan,Compartment B,Italy,GEO.MI
GEVELOT,FR0000033888,Euronext Growth Paris,Euronext Growth,France,ALGEV.PA
GIGANTE SALMON AS,NO0011013765,Euronext Growth Oslo,Euronext Growth,Norway,GIGA.OL
GIGLIO.COM,IT0005453003,Euronext Growth Milan,Euronext Growth,Italy,GCOM.MI
GIMV,BE0003699130,Euronext Brussels,Compartment A,Belgium,GIMB.BR
GIOCAMONDO STUDY,IT0005652489,Euronext Growth Milan,Euronext Growth,Italy,GMS.MI
GISMONDI 1754,IT0005391138,Euronext Growth Milan,Euronext Growth,Italy,GIS.MI
GL EVENTS,FR0000066672,Euronext Paris,Compartment B,France,GLO.PA
GLASS TO POWER S.P.A.,IT0005613739,Euronext Access Paris,Euronext Access,Italy,
GLENVEAGH PROPERTIES PLC,IE00BD6JX574,Euronext Dublin,Compartment B,Ireland,IE00BD6JX574.SG
GLINT,PTPAD0AM0007,Euronext Lisbon,Compartment C,Portugal,GLINT.LS
GOLD BY GOLD,FR0011208693,Euronext Growth Paris,Euronext Growth,France,ALGLD.PA
GOLDEN ENERGY OFFSHORE SERVICES ASA,NO0013228585,Euronext Growth Oslo,Euronext Growth,Norway,GEOS.OL
GOODTECH,NO0004913609,Oslo Bors,Compartment C,Norway,GOD.OL
GPE GROUP PIZZORNO,FR0010214064,Euronext Paris,Compartment B,France,GPE.PA
GPI,IT0005221517,Euronext Milan,Compartment B,Italy,GPI.MI
GRAINES VOLTZ,FR0000065971,Euronext Paris,Compartment C,France,GRVO.PA
GREAT WESTERN MINING CORPORATION PLC,IE000T78CHJ8,Euronext Growth Dublin,Euronext Growth,Ireland,GWMO.L
GREEN EARTH GROUP N.V.,NL0009169515,Euronext Amsterdam,Compartment C,Netherlands,EARTH.AS
GREEN MINERALS AS,NO0010907744,Euronext Growth Oslo,Euronext Growth,Norway,NO0010907744.SG
GREEN OLEO,IT0005549768,Euronext Growth Milan,Euronext Growth,Italy,GRN.MI
GREENCOAT RENEWABLES PLC,IE00BF2NR112,Euronext Growth Dublin,Euronext Growth,Ireland,GRP.IR
GRIEG SEAFOOD,NO0010365521,Oslo Bors,Compartment B,Norway,GSF.OL
GRIFAL,IT0005332595,Euronext Growth Milan,Euronext Growth,Italy,GRAL.MI
GROLLEAU,FR0014005ZM5,Euronext Growth Paris,Euronext Growth,France,ALGRO.PA
GRONG SPAREBANK,NO0010636491,Euronext Growth Oslo,Euronext Growth,Norway,GRONG.OL
GROUPE AIRWELL,FR0014003V77,Euronext Growth Paris,Euronext Growth,France,ALAIR.PA
GROUPE CARNIVOR,FR0000076960,Euronext Access Paris,Euronext Access,France,MLGRC.PA
GROUPE CRIT,FR0000036675,Euronext Paris,Compartment B,France,CEN.PA
GROUPE GUILLIN,FR0012819381,Euronext Growth Paris,Euronext Growth,France,ALGIL.PA
GROUPE JAJ,FR0004010338,Euronext Paris,Compartment C,France,GJAJ.PA
GROUPE LDLC,FR0000075442,Euronext Growth Paris,Euronext Growth,France,ALLDL.PA
GROUPE OKWIND,FR0013439627,Euronext Growth Paris,Euronext Growth,France,ALOKW.PA
GROUPE PARTOUCHE,FR0012612646,Euronext Paris,Compartment B,France,PARP.PA
GROUPE PLUS-VALUES,FR0010529719,Euronext Access Paris,Euronext Access,France,
GROUPE SFPI,FR0004155000,Euronext Paris,Compartment B,France,SFPI.PA
GROUPE TERA,FR0013429404,Euronext Growth Paris,Euronext Growth,France,ALGTR.PA
GROUPIMO,FR0014000RP6,Euronext Growth Paris,Euronext Growth,France,ALIMO.PA
GROWENS,IT0005040354,Euronext Growth Milan,Euronext Growth,Italy,GROW.MI
GT TALENT GROUP,IT0005607699,Euronext Growth Milan,Euronext Growth,Italy,
GUERBET,FR0000032526,Euronext Paris,Compartment B,France,GBT.PA
GUILLEMOT,FR0000066722,Euronext Paris,Compartment C,France,GUI.PA
GVS,IT0005411209,Euronext Milan,Compartment B,Italy,GVS.MI
GYLDENDAL,NO0004288200,Oslo Bors,Compartment C,Norway,GYL.OL
HAFFNER ENERGY,FR0014007ND6,Euronext Growth Paris,Euronext Growth,France,ALHAF.PA
HAIKI+,IT0005628778,Euronext Growth Milan,Euronext Growth,Italy,HIK.MI
HAUGESUND SPB,NO0010764053,Oslo Bors,Compartment C,Norway,HGSB.OL
HAULOTTE GROUP,FR0000066755,Euronext Paris,Compartment C,France,PIG.PA
HAV GROUP ASA,NO0010931918,Euronext Growth Oslo,Euronext Growth,Norway,HAV.OL
HAVAS,NL0015002K83,Euronext Amsterdam,Compartment A,France,HAVAS.AS
HAVILA KYSTRUTEN AS,NO0013696799,Euronext Growth Oslo,Euronext Growth,Norway,HKY.OL
HAVILA SHIPPING,NO0010257728,Oslo Bors,Compartment C,Norway,HAVI.OL
HAWICK DATA NV,NL0010556726,Euronext Amsterdam,Compartment C,Netherlands,HWK.AS
HEALTH ITALIA,IT0005585861,Euronext Growth Milan,Euronext Growth,Italy,HI.MI
HELYX INDUSTRIES (ex Ulisse Biomed S.p.A.),IT0005451213,Euronext Growth Milan,Euronext Growth,Italy,HLX.MI
HERIGE,FR0000066540,Euronext Growth Paris,Euronext Growth,France,ALHRG.PA
HERMANA HOLDING ASA,NO0013401380,Oslo Bors,Compartment C,Norway,HERMA.OL
HEXAGON COMPOSITES,NO0003067902,Oslo Bors,Compartment B,Norway,HEX.OL
HEXAGON PURUS ASA,NO0010904923,Oslo Bors,Compartment B,Norway,HPUR.OL
HEXAOM,FR0004159473,Euronext Growth Paris,Euronext Growth,France,ALHEX.PA
HF COMPANY,FR0000038531,Euronext Growth Paris,Euronext Growth,France,ALHF.PA
H-FARM,IT0004674666,Euronext Growth Milan,Euronext Growth,Italy,FARM.MI
HIGH CO,FR0000054231,Euronext Paris,Compartment C,France,HCO.PA
HIGH QUALITY FOOD,IT0005450694,Euronext Growth Milan,Euronext Growth,Italy,HQF.MI
HIPAY GROUP,FR0012821916,Euronext Growth Paris,Euronext Growth,France,ALHYP.PA
HITECHPROS,FR0010396309,Euronext Growth Paris,Euronext Growth,France,ALHIT.PA
HK,DE000A11Q133,Euronext Access Paris,Euronext Access,Germany,MLHK.PA
HOCHE BAINS L.BAIN,FR0000051302,Euronext Access Paris,Euronext Access,France,MLHBB.PA
HOEGH AUTOLINERS ASA,NO0011082075,Oslo Bors,Compartment A,Norway,HAUTO.OL
HOFFMANN,FR0013451044,Euronext Growth Paris,Euronext Growth,France,FR0013451044.SG
HOFSETH BIOCARE,NO0010598683,Oslo Bors,Compartment C,Norway,HBC.OL
HØLAND OG SETSKOG,NO0010012636,Oslo Bors,Compartment C,Norway,HSPG.OL
Holland Colours,NL0000440311,Euronext Amsterdam,Compartment C,Netherlands,HOLCO.AS
HOME CONCEPT,FR0012336691,Euronext Access Paris,Euronext Access,France,
HOPENING,FR0010312181,Euronext Access Paris,Euronext Access,France,MLHPE.PA
HOPIUM,FR0014010QE1,Euronext Growth Paris,Euronext Growth,France,ALHPI.PA
HOPSCOTCH GROUPE,FR0000065278,Euronext Growth Paris,Euronext Growth,France,ALHOP.PA
HOT.MAJESTIC CANNE,FR0006226791,Euronext Access Paris,Euronext Access,France,MLHMC.PA
HOTELES BESTPRICE,ES0105664009,Euronext Access Paris,Euronext Access,Spain,MLHBP.PA
HOTELIM,FR0000053738,Euronext Access Paris,Euronext Access,France,MLHOT.PA
HOTELS DE PARIS,FR0004165801,Euronext Paris,Compartment C,France,HDP.PA
HOTL.IMMOB.NICE,FR0006563904,Euronext Access Paris,Euronext Access,France,MLHIN.PA
HUDDLESTOCK FINTECH,NO0010859648,Euronext Growth Oslo,Euronext Growth,Norway,NO0010859648.SG
HUDDLY AS,NO0013470534,Euronext Growth Oslo,Euronext Growth,Norway,HDLY.OL
HUNTER GROUP,NO0012953720,Oslo Bors,Compartment C,Norway,HUNT.OL
HUNYVERS,FR0014007LQ2,Euronext Growth Paris,Euronext Growth,France,ALHUN.PA
HYDRATEC Gewone aandelen,NL0009391242,Euronext Amsterdam,Compartment C,Netherlands,HYDRA.AS
HYDRAULIQUE HOLDING,FR0000064735,Euronext Access Paris,Euronext Access,France,MLHYD.PA
HYDRO-EXPLOIT.,FR0005843125,Euronext Access Paris,Euronext Access,France,
HYDROGENE DE FRANCE,FR0014003VY4,Euronext Paris,Compartment B,France,HDF.PA
HYDROGENPRO ASA,NO0010892359,Oslo Bors,Compartment C,Norway,NO0010892359.SG
